course_code,course_name,professor,semester,course_description,credits,room_and_schedule,satisfies_core_requirement,prerequisites,corequisites,cross_listed_with,student_level
HIST1718,American society and culture throughout history and in contemporary times? These paired,,,"courses will explore the complex relationship between sports and society. Through an interdisciplinary approach to history and sociology, students will analyze the evolution of sports, assess how they mirror the changing dynamics of American society and culture, and investigate the multifaceted roles sports have played and continue to play in shaping our society. By the end of these courses, students will understand how sports serve as a microcosm of American society and a platform for social change, fostering critical thinking and a deep appreciation of the nation's cultural fabric.",3,Stokes Hall 103S TuTh 04:30PM -05:45PM,"Cultural Diversity,History II",None,None,None,Undergraduate
HIST1734.01,Moving Matters: Migration and Transformation Across the Americas,"Picone, Maria de los Angeles",Spring 2026,"This is a Complex Problem course and is open to FRESHM EN only. You must take both HIST1734 and UNAS1741. M ovement has shaped the Americas for centuries, especially from 1800 to today. This course examines how people on the move -- migrating for opportunity, fleeing crisis, or seeking new beginnings -- interact with social landscapes. From the Patagonian Desert to New England cities, we will explore why people uproot, what attracts them to new places, and how they adapt to new cultures. We will trace critical moments of mass movement and their impact on families, communities, and nations. This course is not just about migration; it is about understanding the transformative power of movement over two centuries.",3,Stokes Hall 195S TuTh 03:00PM -04:15PM,"History II,Cultural Diversity",None,None,None,Undergraduate
HIST1735.01,Plants and Power: The History of Colonial Science in the English-Speaking World,"Bruce, Kathryn",Spring 2026,This is an Enduring Question course and is open to FRESHM EN only. You must take both,,,,,,,
ENGL1750,"courses examine the relationship between people, plants, and power through the literature and",,,"history of the English-speaking world. We consider how plant knowledge is intertwined with imperialism and defines power relations between communities, and ask how such knowledge is constructed, valued, and deployed. In addition to recognizing how knowledge about the plant world is created and communicated, we will use this knowledge to challenge human-centered perspectives and look more broadly at the non-human actors of the natural world. By examining historical and literary texts in relation to the disciplines of science, botany, horticulture, and agriculture, we seek to understand how humanity has shared our existence with plants, and how we can inhabit the world responsibly in the age of extinction and climate change.",3,Stokes Hall 103S M WF 01:00PM -01:50PM,"History II,Cultural Diversity",None,None,None,Undergraduate
HIST1736.01,"Urban Paradoxes: Histories of Cities, Power, and Environment in the Americas","Guadarrama Dominguez, Luis Andrei",Spring 2026,This is an Enduring Question course and is open to FRESHM EN only. You must take both,,,,,,,
HIST1736,majority of humans lived outside of urban areas until 2007. To understand this massive,"transformation in human experience, these courses will examine the social and material",,"processes that make urban life possible, investigating core contradictions of the city -- a site of economic growth and inequality, political freedom and oppression, environmental justice and disaster. Against interpreting urban growth, infrastructure, and markets as neutral, we will make visible the contingent power relations and systems that create, shape, and constrain human interactions and beliefs. These courses will combine sources from history and political theory, with emphasis on cities in the U.S. and Latin America in the 20th century. Students will engage in deep research of a particular city and think through solutions to ongoing problems of global cities.",3,Stokes Hall 107S M WF 11:00AM -11:50AM,"Cultural Diversity,History II",None,None,None,Undergraduate
HIST1736.03,"Urban Paradoxes: Histories of Cities, Power, and Environment in the Americas","Guadarrama Dominguez, Luis Andrei",Spring 2026,This is an Enduring Question course and is open to FRESHM EN only. You must take both,,,,,,,
HIST1736,majority of humans lived outside of urban areas until 2007. To understand this massive,"transformation in human experience, these courses will examine the social and material",,"processes that make urban life possible, investigating core contradictions of the city -- a site of economic growth and inequality, political freedom and oppression, environmental justice and disaster. Against interpreting urban growth, infrastructure, and markets as neutral, we will make visible the contingent power relations and systems that create, shape, and constrain human interactions and beliefs. These courses will combine sources from history and political theory, with emphasis on cities in the U.S. and Latin America in the 20th century. Students will engage in deep research of a particular city and think through solutions to ongoing problems of global cities.",3,Stokes Hall 133S M WF 12:00 Noon-12:50PM,"Cultural Diversity,History II",None,None,None,Undergraduate
HIST1806.01,Podcasting the Ottomans,"Sajdi, Dana",Spring 2026,"The Ottoman Empire (1299-1922) connected West Asia, North Africa, and parts of Europe, and was of the largest and longest lasting empires in world history. We will study the history of the Ottoman polity and its multi-religious and multi-ethnic society by taking the Ottoman History Podcast as our main textbook. Students will learn the principles of storytelling and podcasting and will produce a podcast episode in lieu of a final exam.",3,Stokes Hall 201N TuTh 12:00 Noon-01:15PM,"Cultural Diversity,History I",None,None,None,Undergraduate
HIST1844.01,American Capitalism and Its Critics,"Glass, Michael",Spring 2026,"This course examines the development of capitalism in the United States over the past two centuries. We will begin with classical theorists, and then examine slavery, industrial factories, the labor movement, and mass consumption in 1950s suburbs. We will focus on how Americans have debated economic inequality, with special attention to dynamics of race, gender, and class. Through a close reading of historical texts, we will discuss enduring questions of freedom, wealth, power, democracy, and citizenship. Although the class is focused on the United States, we will compare examples from other regions because capitalism has always been global. As part of the Core Curriculum, this course will introduce you to the discipline of history: how historians approach the study of the past, what types of evidence they use, and how they explain change over time. It will also help you develop foundational skills of reading, note- taking, discussing, and writing that will support your endeavors at Boston College and beyond.",3,Stokes Hall 117S M WF 10:00AM -10:50AM,"History II,Cultural Diversity",None,None,None,Undergraduate
HIST2020.01,Japanese Cultural Icons through Modern Times,"Seraphim, Franziska",Spring 2026,"Fulfills the Non-Western Requirement for the History M ajor.. This course surveys Japanese history from 1600 to the present. Each week focuses on a cultural icon that dominated public culture at the time or came to be identified as such later. Examples include the samurai warrior, the courtesan, the ""men of high purpose"" in the M eiji Revolution, the war general, the modern girl, the emperor, the postwar salaryman, etc. Some are anti-heroes, but all have found a firm place in Japan's cultural history. Lectures place these figures in historical context, while readings examine their cultural meanings through literature, biography, scholarly texts, visual images, and film.",3,Stokes Hall 213S TuTh 10:30AM -11:45AM,Cultural Diversity,None,None,None,Undergraduate
HIST2051.01,Modern China History,"Mo, Yajun",Spring 2026,"Fulfills the LAM A Requirement for History M ajors This course will trace the history of China from roughly the year 1800 to the present, including the collapse of the imperial system, the rise of nationalism and new political ideologies, the forging of Chinese identity through war and revolution, and the gradual consolidation of the nation-state. The focus will be on the daily life of ordinary people, and their relationship to the family, the village/city, the environment, and the State; their connections with local, regional, and global economic and cultural networks; and their ethnic identity, religious practice, and gender relations. History",3,Stokes Hall 201S TuTh 12:00 Noon-01:15PM,Cultural Diversity,None,None,None,Undergraduate
HIST2603.01,States and Minorities in the Middle East,"Salameh, Franck",Spring 2026,"A general survey of M iddle Eastern minority narratives within the context of the modern M iddle East state system. The course will examine such topics as the political and cultural make up of the M iddle East, the status of minorities, minority narratives, and minority rights. Fulfills LAM A Requirement for History M ajors and M inors.",3,Fulton Hall 423 TuTh 12:00 Noon-01:15PM,Cultural Diversity,None,None,"NELC2062,SOCY1150",Undergraduate
ICSP2309.01,Music and Culture in the Middle East,"Riordan, Ann E",Spring 2026,"This course explores the relationship between different music traditions of the M iddle East and their respective cultural contexts. It addresses issues of music's structure and content vis-à-vis its role in social, political, and religious situations in the region; the ways that these forces influence musical aesthetics, while also addressing the role of music in the M iddle East historically. The cultural areas covered in this class include the Arab World, Iran, Turkey, and Afghanistan.",3,Devlin Hall 112 TuTh 01:30PM -02:45PM,Cultural Diversity,None,None,M USA2309,Both
ICSP3200.01,Engaging Interreligious Leadership,"Joslyn-Siemiatkoski, Daniel",Spring 2026,"This course engages the quest for meaning, purpose, and practical skills in interreligious engagement, building upon material learned in one of the Core courses that brings Christianity into dialogue with another tradition toward the goal of developing models of ethical interaction between religious traditions, people and experiences. Rooted in recognition that engaging religious diversity is a necessary component of training for global citizenship in the contemporary world, the course offers multiple perspectives on interreligious encounters in a variety of fields that can serve as opportunities for collective engagement toward common goals and purposes, as well as a source of conflict and violence when managed poorly, particularly in the context of other political and socio-economic concerns. The course provides theoretical background in framing interreligious engagement within the field of interreligious studies, followed by identification of best practices and community-based initiatives rooted in case studies recorded in print literature, the media, and films, and concludes with students formulating their own case studies. Topics addressed include: strategies for crafting and facilitating interreligious meeting spaces, including in education, medicine, the business world, and the public square; the role of religious identities, gender dynamics, race and racism in interreligious environments; interreligious encounters in culture and the fine arts; developments in interreligious dialogue; interreligious cooperation in addressing environmental and social justice concerns; and engagement of religions as tools for conflict resolution.",3,Devlin Hall 018 TuTh 01:30PM -02:45PM,Cultural Diversity,None,None,THEO3200,Undergraduate
INTL3374.01,Development Economics and Policy,"Cristoforoni, Enrico",Spring 2026,"This course examines development economics and development policy. The purpose is to understand the lives of the poor and the economies of poor countries in order to understand what--if anything--can be done to improve their lives. We will consider what might be holding the poor back including population growth, lack of education, poor health, corruption, and institutional impediments such as poorly developed or tightly constrained markets. This course is appropriate for economics majors as well as for majors in international studies with the appropriate prerequisites.",3,Gasson Hall 210 TuTh 09:00AM -10:15AM,Cultural Diversity,ECON1151 and ECON2201,None,ECON3374,Undergraduate
INTL3374.02,Development Economics and Policy,"Cristoforoni, Enrico",Spring 2026,"This course examines development economics and development policy. The purpose is to understand the lives of the poor and the economies of poor countries in order to understand what--if anything--can be done to improve their lives. We will consider what might be holding the poor back including population growth, lack of education, poor health, corruption, and institutional impediments such as poorly developed or tightly constrained markets. This course is appropriate for economics majors as well as for majors in international studies with the appropriate prerequisites.",3,Gasson Hall 210 TuTh 10:30AM -11:45AM,Cultural Diversity,ECON1151 and ECON2201,None,ECON3374,Undergraduate
INTL5563.01,"Ethics, Religion, and International Politics","Johnston, Laura E",Spring 2026,"An examination of the role of religion in international politics and of ethical approaches to international affairs. Special emphasis will be given to religion as a source of conflict, religious communities as transnational agents for justice, protection of human rights, and peace; the historical development and contemporary formulations of ethical norms for the use of force; and ethical and religious contributions to reconciliation and solidarity.",4,Campion Hall 328 TuTh 10:30AM -11:45AM,Cultural Diversity,None,None,"THEO5562,PHIL5563",Both
INTL5563.04,"Ethics, Religion, and International Politics","Johnston, Laura E",Spring 2026,"An examination of the role of religion in international politics and of ethical approaches to international affairs. Special emphasis will be given to religion as a source of conflict, religious communities as transnational agents for justice, protection of human rights, and peace; the historical development and contemporary formulations of ethical norms for the use of force; and ethical and religious contributions to reconciliation and solidarity.",4,Stokes Hall 117S TuTh 01:30PM -02:45PM,Cultural Diversity,None,None,"THEO5562,PHIL5563",Both
MGMT2137.01,Managing Diversity,"Clark, Angela",Spring 2026,"Students in this course will learn about contemporary empirical and theoretical research on the dynamics of international culture, gender, race, and other special differences in the workplace. They can also increase skills in diagnosing and solving diversity-related conflicts and dilemmas, and develop a capacity to distinguish a monolithic organization from one that treats diversity as a competitive advantage.",3,Devlin Hall 117 Tu 04:30PM -06:50PM,Cultural Diversity,None,None,AADS1137,Undergraduate
MGMT2137.02,Managing Diversity,"Clark, Angela",Spring 2026,"Students in this course will learn about contemporary empirical and theoretical research on the dynamics of international culture, gender, race, and other special differences in the workplace. They can also increase skills in diagnosing and solving diversity-related conflicts and dilemmas, and develop a capacity to distinguish a monolithic organization from one that treats diversity as a competitive advantage.",3,Devlin Hall 218 W 04:30PM -06:50PM,Cultural Diversity,None,None,AADS1137,Undergraduate
MUSA1320.01,Introduction to Musics of the World,"Riordan, Ann E",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 M WF 02:00PM -02:50PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.02,Introduction to Musics of the World,"Riordan, Ann E",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 M WF 03:00PM -03:50PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.03,Introduction to Musics of the World,"Dineen, Douglass",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 409 TuTh 10:30AM -11:45AM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.04,Introduction to Musics of the World,"Dineen, Douglass",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 TuTh 12:00 Noon-01:15PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA2309.01,Music and Culture in the Middle East,"Riordan, Ann E",Spring 2026,"This course explores the relationship between different music traditions of the M iddle East and their respective cultural contexts. It addresses issues of music's structure and content vis-à-vis its role in social, political, and religious situations in the region; the ways that these forces influence musical aesthetics, while also addressing the role of music in the M iddle East historically. The cultural areas covered in this class include the Arab World, Iran, Turkey, and Afghanistan.",3,Devlin Hall 112 TuTh 01:30PM -02:45PM,Cultural Diversity,None,None,ICSP2309,Both
NELC2062.01,States and Minorities in the Middle East,"Salameh, Franck",Spring 2026,"A general survey of M iddle Eastern minority narratives within the context of the modern M iddle East state system. The course will examine such topics as the political and cultural make up of the M iddle East, the status of minorities, minority narratives, and minority rights. Fulfills LAM A Requirement for History M ajors and M inors.",3,Fulton Hall 423 TuTh 12:00 Noon-01:15PM,Cultural Diversity,None,None,"HIST2603,SOCY1150",Undergraduate
NURS4264.01,Actualizing the Role of Professional Nurse,"Cullinan, Donna L;Simonelli, Mary C",Spring 2026,"Prepares students to transition into the role of the professional nurse. Responsibilities associated with assuming the role of a professional are explored in relation to furthering individual and social good. Contemporary health care policies and economic pressures are examined for their influence on the delivery of quality patient care. Current ethical and legal standards are highlighted and students are encouraged to reflect on how biases and prejudices influence the provision of patient care. Focus is placed on recognizing and addressing injustices in health care access and quality, which is essential to actualizing the role of professional nurse.",3,245 Beacon Street Room 102 M  04:30PM -07:20PM,"Social Science,Cultural Diversity",NURS2070 and NURS3170,None,None,Undergraduate
PHCG4060.01,"Borderlands & Health Justice: Migration, Environment, and Indigenous Rights","White, Michelle L",Spring 2026,"This experiential learning course focuses on the borderlands between the U.S. and M exico, cutting across traditional indigenous lands. We examine the history, politics, policies, and challenges of the border and the borderlands region. Students employ a social justice lens to understand histories of nation-building; migration and immigration challenges; local Native rights issues; food, biodiversity and sustainability challenges; rural health delivery; the effects of extractive industry and the possibilities of restorative economy; and models of liberatory education honoring indigenous histories and knowledges. This course is built around a REQUIRED, PLACE-BASED TRAVEL EXPERIENCE OVER SPRING BREAK (typically 8 days from Friday Saturday) in the Sonoran Desert and Sky Islands region of southern Arizona, along the border of Sonora, M exico, and the Tohono O'odham Nation. All travel is within the U.S. Students explore local landscapes and learn through dialogue with community partners. While we consider historical and contemporary challenges of the region, we also learn about innovative models of response based in local organizing. Ultimately, students apply a root-cause analysis to consider health in context, community challenges and assets, and the importance of community-driven models of development and justice. Finally, students will practice leadership skills for social change by developing and implementing an action plan to advance health justice in the context of their course learning.This is a Dept. Permission course. The mandatory travel component of this course carries an additional travel and program fee of approximately $2,000-$2,200. Financial assistance is typically available based on team fundraising efforts. For more information, please contact:publichealth@bc.edu",3,245 Beacon Street Room 205 Th 03:00PM -05:20PM,Cultural Diversity,PHCG1210 or Permission of Department,None,None,Undergraduate
PHIL1160.01,The Challenge of Justice,"Snyder, Joshua R",Spring 2026,"This course introduces the student to the principal understandings of justice that have developed in the Western philosophical and theological traditions. Care is taken to relate the theories to concrete, practical and political problems, and to develop good reasons for choosing one way of justice rather than another. The relationship of justice to the complementary notion of peace will also be examined. Special attention is paid to the contribution of Catholic theology in the contemporary public conversation about justice and peace. Problems discussed may include human rights, hunger and poverty, and ecological justice.",3,Stokes Hall 217N TuTh 03:00PM -04:15PM,Cultural Diversity,None,None,THEO2160,Undergraduate
PHIL1160.02,The Challenge of Justice,"Regule, Teva L",Spring 2026,"This course introduces the student to the principal understandings of justice that have developed in the Western philosophical and theological traditions. Care is taken to relate the theories to concrete, practical and political problems, and to develop good reasons for choosing one way of justice rather than another. The relationship of justice to the complementary notion of peace will also be examined. Special attention is paid to the contribution of Catholic theology in the contemporary public conversation about justice and peace. Problems discussed may include human rights, hunger and poverty, and ecological justice.",3,Stokes Hall 211S TuTh 01:30PM -02:45PM,Cultural Diversity,None,None,THEO2160,Undergraduate
PHIL2230.01,Mass Incarceration: Philosophical and Theological Perspectives,"McGill, Cherie",Spring 2026,"This course will explore problems of justice in relation to incarceration in the United States with particular attention to race, social class, gender, and immigration status. Students will read authors writing on the philosophy of race, gender, and class in relation to incarceration, the phenomenology of solitary confinement and the concept of ""social death,"" church documents and theological works on incarceration, and works on restorative justice and other models of justice that serve the common good. Catholic Social Justice teachings and discussion will also be a part of the course. The course will also address interconnections between immigration and incarceration. This course will be offered as a PULSE elective, in which students undertake four hours per week of service in the City of Boston at institutions such as Suffolk Country Jail and non-profits that provide transitional services for returning residents or formerly incarcerated individuals or that advocate for prison reform. The PULSE office will vet and coordinate students' placements and serve as a liaison with community partners. Satisfies the following distribution requirement(s) for Philosophy: Ethics & Values. Prerequisite(s): Philosophy or Theology Core.",3,Stokes Hall 117S M W 01:30PM -02:45PM,Cultural Diversity,None,None,THEO2230,Undergraduate
PHIL4242.01,The Ethics of Accompaniment of Refugees,"Bloechl, Jeffrey",,"Spring 2026 This course will explore the complicated and urgent problem of refugees and forced migration. Our approach will have three dimensions: attention to the social, political and environmental conditions; theoretical analysis from philosophy, theology, and social theory; and active accompaniment of refugees in the form of work with and for them as facilitated by the Jesuit Refugee Services. Our central aim will be to generate and practice the mode of responsibility defined by what the Society of Jesus calls accompaniment. Students will be expected to read and discuss a variety of texts, attend invited lectures and workshops, and participate in an overnight retreat prior to a three-week immersion experience beginning in late M ay. There will be examination on the academic materials prior to departure from the United States, organized reflection while abroad, and a reflection paper grounded in scholarly research will be due some weeks after our return. Satisfies the following distribution requirement(s) for Philosophy: Ethics & Values.",3,By Arrangement,Cultural Diversity,Students must have completed the PHIL core,None,THEO4242,Undergraduate
PHIL5563.01,"Ethics, Religion, and International Politics","Johnston, Laura E",Spring 2026,"An examination of the role of religion in international politics and of ethical approaches to international affairs. Special emphasis will be given to religion as a source of conflict, religious communities as transnational agents for justice, protection of human rights, and peace; the historical development and contemporary formulations of ethical norms for the use of force; and ethical and religious contributions to reconciliation and solidarity.",4,Campion Hall 328 TuTh 10:30AM -11:45AM,Cultural Diversity,None,None,"THEO5562,INTL5563",Both
PHIL5563.02,"Ethics, Religion, and International Politics","Sundaram, Christopher S",Spring 2026,"An examination of the role of religion in international politics and of ethical approaches to international affairs. Special emphasis will be given to religion as a source of conflict, religious communities as transnational agents for justice, protection of human rights, and peace; the historical development and contemporary formulations of ethical norms for the use of force; and ethical and religious contributions to reconciliation and solidarity.",0,Stokes Hall 361S Th 03:00PM -03:50PM,Cultural Diversity,None,None,"THEO5562,INTL5563",Both
POLI2405.01,Comparative Politics of the Middle East,"Bailey, Kathleen T",Spring 2026,"The course explores origins of M uslim majority societies and political systems in the M iddle East. It covers the formative era of Islamic civilization, and traces the diffusion of the M iddle Eastern Islamic paradigm, culminating in the Ottoman system, and explores the social and political disruptions caused by the breakup of M uslim empires and establishment of European economic, political and cultural domination. It addresses how these forces led to the creation of national states and changes in class structure, and explores how the failure of Western forms of modernization and political organization led to demands for the formation of new political communities based on the revival of Islamic principles. Discussions will center Islam's compatibility with liberalism, secularization, modernity, democracy, and terrorism. Recent developments surrounding the ""Arab Spring"" and its aftermath will be explored. The course includes a crisis simulation exercise.",3,Gasson Hall 305 TuTh 10:30AM -11:45AM,Cultural Diversity,None,None,None,Undergraduate
POLI3510.01,Globalization,"Christensen, Paul T",Spring 2026,"This course examines the political, economic, social, and cultural implications of the increasingly integrated world system. The course focuses on conflicting assessments of international institutions (IM F, World Bank, WTO) and political governance; the impact of economic integration; and the effects of globalization on state sovereignty, democracy, and social cohesion. Specific case studies will include: globalization and the environment; globalization, gender, and work; globalization and immigration/migration; globalization and the illicit economy, and anti-globalization social movements and activism.",3,Campion Hall 303 M WF 11:00AM -11:50AM,Cultural Diversity,None,None,INTL3510,Undergraduate
POLI4590.01,The Rise of China and U.S.-China Competition: East Asian Security and the Changing,,,"International Order Ross, Robert S Spring 2026 If you previously taken POLI 4590 East Asian Security, do not take this course. This course is class restricted to juniors, seniors, and graduate students only. The rise of China andthe American response is the most important development in 21st century international politics. This class offers a political perspective on the U.S.-China power transition for East Asia security affairs and the implications for global politics. It examines the influence of the power transition for East Asian conflicts on the Korean peninsula, in the Taiwan Strait, and in the South China Sea, and the development of security partnerships in regional diplomacy, including China-Russia relations and U.S.-Japan relations. The course considers the implications of U.S.-China regional competition for a new cold war and for the management of global concerns, including the international trade order, climate change, and global health.",3,Devlin Hall 117 M W 04:30PM -05:45PM,Cultural Diversity,None,None,None,Both
SLAV2169.01,Introduction to Slavic Peoples and Cultures,"/26, 5:48 PM Core Requirements - Morrissey College of Arts and Sciences - Boston College",,"Lin, Tony H Spring 2026 Introduction to Slavic Peoples and Cultures (formerly Slavic Civilizations) is a gateway course that satisfies the Cultural Diversity core and is required for both Russian and Slavic majors. The course is designed to familiarize students with major topics, such as languages and religions in Eastern Europe, and the formation of nation states and identities. Special attention will be paid to major events in Slavic cultural history, from the appearance of Slavs in history to the rise and fall of the Soviet Union and Yugoslavia. We will study these events not only through literary texts but also works of art, music, and film. The course is taught entirely in English with no prerequisites.",3,Stokes Hall 133S M WF 10:00AM -10:50AM,Cultural Diversity,None,None,None,Undergraduate
SLAV2173.01,Twentieth-Century Russian Literature (in Translation),"Shrayer, Maxim",Spring 2026,"Satisfies the literature core requirement and the cultural diversity requirement.Landmarks of Russian-language literature from the Russian Empire, the USSR, and the emigrations, in the context of the twentieth centurys turbulent history. Works by Akhmatova, Brodsky, Bunin, Gladkov, M ayakovsky, Selvinsky, Shkovsky, Sologub, Solzhenitsyn, Trifonov and others. Conducted entirely in English. All readings are in English. Students of Russian contribute their expertise. No prerequisites.",3,Lyons Hall 202 TuTh 12:00 Noon-01:15PM,"Cultural Diversity,Literature",None,None,ENGL2228,Undergraduate
SOCY1001.01,Introductory Sociology,"Best, Latrica E",Spring 2026,"Offered every semester. Do not take SOCY1001 if you have already taken SOCY1002. Only one of these courses will count toward the major or minor. This course introduces students to the field of sociology and covers some of its most essential concepts, theories, and methods. Special attention will be paid to understanding social structure and its role in shaping individual and population outcomes and life chances. This course will cover a range of topics that may include family, work, education, politics, medicine, crime, religion, media, and social change. This course satisfies the social science core and is open to a range of students from any major. However,",,,,,,,
SOCY1001,Wednesday meetings will be lecture-based while Friday meetings will be reserved for smaller,,,sociology labs led by teaching assistants.,3,245 Beacon Street Room 107 M W 09:00AM -09:50AM,"Cultural Diversity,Social Science",None,None,None,Undergraduate
SOCY1001.02,Introductory Sociology,"Seim, Joshua D",Spring 2026,"Offered every semester. Do not take SOCY1001 if you have already taken SOCY1002. Only one of these courses will count toward the major or minor. This course introduces students to the field of sociology and covers some of its most essential concepts, theories, and methods. Special attention will be paid to understanding social structure and its role in shaping individual and population outcomes and life chances. This course will cover a range of topics that may include family, work, education, politics, medicine, crime, religion, media, and social change. This course satisfies the social science core and is open to a range of students from any major. However,",,,,,,,
SOCY1001,Wednesday meetings will be lecture-based while Friday meetings will be reserved for smaller,,,sociology labs led by teaching assistants.,3,Fulton Hall 230 M W 11:00AM -11:50AM,"Cultural Diversity,Social Science",None,None,None,Undergraduate
SOCY1030.01,Deviance and Social Control,"Pfohl, Stephen J",Spring 2026,"This course explores the social construction of boundaries between the ""normal"" and the so- called ""deviant."" It examines the struggle between powerful forms of social control and what these exclude, silence, or marginalize. Of particular concern is the relationship between dominant forms of religious, legal, and medical social control and gendered, racialized, and global economic structures of power. The course provides an in-depth historical analysis of theoretical perspectives used to explain, study, and control deviance, as well as ethical-political inquiry into such matters as religious excess, crime, madness, corporate and governmental wrong-doing, and sexual subcultures that resist dominant social norms.",3,Campion Hall 300 M W 10:30AM -11:45AM,"Cultural Diversity,Social Science",None,None,None,Undergraduate
SOCY1150.01,States and Minorities in the Middle East,"Salameh, Franck",Spring 2026,"A general survey of M iddle Eastern minority narratives within the context of the modern M iddle East state system. The course will examine such topics as the political and cultural make up of the M iddle East, the status of minorities, minority narratives, and minority rights. Fulfills LAM A Requirement for History M ajors and M inors.",3,Fulton Hall 423 TuTh 12:00 Noon-01:15PM,Cultural Diversity,None,None,"HIST2603,NELC2062",Undergraduate
SOCY1233.01,Creatively Re/Imagining Black Worlds: Empathy and the Social Life of Fiction in the,,,"African Diaspora McGuffey, Clifton S Spring 2026 This is an Enduring Question course and is open to FRESHM EN only. You must take both",,,,,,,
ENGL1749,and prose fictions -- impact the social world? These linked courses explore the role of black,"literature and popular culture in cultivating empathy, imagination, and the joys in resistance.",,"Using the lenses of social science, literature, and black feminism, students will analyze how the narratives in multiple literary genres foster compassion and inspire social action. How can fiction reshape societal attitudes? Can literature help readers imagine and create new worlds? By engaging with stories that reimagine race, gender, and identity, students will examine how literature can disrupt normalized social categories and inspire transformative possibilities in the real world.",3,Stokes Hall 203S TuTh 03:00PM -04:15PM,"Social Science,Cultural Diversity",None,None,None,Undergraduate
SOCY1718.01,How Sports Explain America: The Sociology of Sports in the United States,"Kim, Kyoung-yim",Spring 2026,This is an Enduring Question course and is open to FRESHM EN only. You must take both,,,,,,,
HIST1718,American society and culture throughout history and in contemporary times? These paired,,,"courses will explore the complex relationship between sports and society. Through an interdisciplinary approach to history and sociology, students will analyze the evolution of sports, assess how they mirror the changing dynamics of American society and culture, and investigate the multifaceted roles sports have played and continue to play in shaping our society. By the end of these courses, students will understand how sports serve as a microcosm of American society and a platform for social change, fostering critical thinking and a deep appreciation of the nation's cultural fabric.",3,Stokes Hall 103S TuTh 03:00PM -04:15PM,"Social Science,Cultural Diversity",None,None,None,Undergraduate
SOCY2605.01,Hip Hop and Black Social Life in Los Angeles,"Murphy, Demetrius",Spring 2026,"This course examines the relationship between Hip-Hop culture and Black social life in Los Angeles from the late 20th century to the present. We will explore how Hip Hop reflects, contests, and shapes urban life, political struggles, cultural expression, and community identity. Topics include the history of Black migration to L.A., policing and resistance, gang culture, the 1992 uprising, gender and sexuality in hip hop, the role of media industries, and the global influence of West Coast rap. Students will engage with music, film, visual art, and scholarship to analyze Hip Hop as both cultural production and lived practice.",3,Gasson Hall 306 TuTh 01:30PM -02:45PM,"Social Science,Cultural Diversity",None,None,AADS2605,Undergraduate
SOCY3304.01,"Race, Ethnicity, and Popular Culture","Magubane, Zine",Spring 2026,"To get sociology credit for the major or minor, you must register for SOCY3304.. This course will examine how racial and ethnic groups have been stereotyped in popular culture and how these stereotypes have changed over time. The course will look at stereotypes of Africans, African Americans, Native Americans, Asian-Americans, Asians, and European Americans. Students will also explore theoretical questions on the relationship between culture, politics, and ideology. Familiarity with postmodernism, postcolonial studies, and gender and/or race theory suggested.",3,M cguinn Hall 415 TuTh 09:00AM -10:15AM,Cultural Diversity,Students taking this course must have taken at least one other sociology course.,None,None,Undergraduate
